path_name,protocol,loss_percent,avg_throughput_mbps,baseline_throughput_mbps,throughput_drop_percent,avg_latency_ms,avg_tcp_retransmits,trials
MASS_NEWY,QUIC,0,119.7194181107635,119.7194181107635,0.0,4.6643333333333326,,3
MASS_NEWY,QUIC,2,13.517759208968167,119.7194181107635,88.70879977343222,4.669,,3
MASS_NEWY,QUIC,5,7.489545878110454,119.7194181107635,93.74408429618228,4.673,,3
MASS_NEWY,TCP,0,594.1399399939567,594.1399399939567,0.0,4.6643333333333326,57.333333333333336,3
MASS_NEWY,TCP,2,577.2780880784629,594.1399399939567,2.8380270001146957,4.669,50.666666666666664,3
MASS_NEWY,TCP,5,15.679411041181547,594.1399399939567,97.36099023382589,4.673,253.33333333333334,3
MASS_UCSD,QUIC,0,55.47739172914066,55.47739172914066,0.0,71.56533333333333,,3
MASS_UCSD,QUIC,2,1.0857448971207146,55.47739172914066,98.04290565349271,71.58433333333333,,3
MASS_UCSD,QUIC,5,0.6295580833958313,55.47739172914066,98.86519884267533,71.57633333333332,,3
MASS_UCSD,TCP,0,71.82399756196672,71.82399756196672,0.0,71.56533333333333,0.0,3
MASS_UCSD,TCP,2,1.8216654226104296,71.82399756196672,97.46370922749215,71.58433333333333,106.0,3
MASS_UCSD,TCP,5,0.9236968997955574,71.82399756196672,98.71394390294326,71.57633333333332,300.6666666666667,3
